,gameID,teamID,total_rush,total_pass,total_punt,total_ko,total_pat,total plays,,,,,,,
256,GT092510,ST,40,41,3,8,6,98,,,,,,,
257,GT092510,GT,48,18,4,5,4,79,,,,,,,
258,GT100210,GT,48,21,5,6,1,81,,,,,,,
259,GT100210,WF,43,23,8,5,2,81,,,,,,,
260,GT100910,VA,28,31,4,3,3,69,,,,,,,
261,GT100910,GT,74,6,2,7,3,92,,,,,,,
262,GT101610,MT,39,35,6,3,2,85,,,,,,,
263,GT101610,GT,57,14,5,7,6,89,,,,,,,
264,GT102310,GT,49,19,3,4,1,76,,,,,,,
265,GT102310,CU,38,27,2,6,3,76,,,,,,,
266,GT110410,GT,51,10,4,4,3,72,,,,,,,
267,GT110410,VT,40,25,4,5,4,78,,,,,,,
268,GT111310,UM,46,18,3,6,5,78,,,,,,,
269,GT111310,GT,59,17,4,3,1,84,,,,,,,
270,GT112010,DU,25,43,4,5,2,79,,,,,,,
271,GT112010,GT,62,7,2,7,3,81,,,,,,,
272,GT112810,GT,77,15,2,6,5,105,,,,,,,
273,GT112810,GA,29,19,2,7,6,63,,,,,,,
274,IBOWL10,AF,49,23,4,3,0,79,,,,,,,
275,IBOWL10,GT,57,14,5,2,1,79,,,,,,,
276,GT100111,GT,52,12,2,8,6,80,,,,,,,
277,GT100111,ST,38,36,3,4,5,86,,,,,,,
278,GT100811,MD,41,24,4,4,1,74,,,,,,,
279,GT100811,GT,60,21,5,4,3,93,,,,,,,
280,GT101511,GT,53,8,4,4,3,72,,,,,,,
281,GT101511,VA,47,19,2,5,3,76,,,,,,,
282,GT102211,GT,48,14,5,2,1,70,,,,,,,
283,GT102211,UM,41,23,4,5,3,76,,,,,,,
284,GT102911,CU,24,41,3,4,2,74,,,,,,,
285,GT102911,GT,67,9,3,6,4,89,,,,,,,
286,GT111011,VT,52,13,2,7,4,78,,,,,,,
287,GT111011,GT,49,11,3,5,2,70,,,,,,,
288,GT111911,GT,58,13,2,6,5,84,,,,,,,
289,GT111911,DU,24,44,4,6,4,82,,,,,,,
290,GT123111,GT,57,15,5,5,3,85,,,,,,,
291,GT123111,UTAH,32,32,8,5,3,80,,,,,,,
292,2012SB,USC,22,37,8,2,1,70,,,,,,,
293,2012SB,GT,63,10,6,4,3,86,,,,,,,
294,ACC12,FS,37,21,3,4,3,68,,,,,,,
295,ACC12,GT,52,16,4,5,0,77,,,,,,,
296,GTBC12,BC,16,31,5,4,0,56,,,,,,,
297,GTBC12,GT,76,15,2,7,5,105,,,,,,,
298,GTBYU12,BYU,46,29,2,8,5,90,,,,,,,
299,GTBYU12,GT,35,12,6,4,2,59,,,,,,,
300,GTCU12,GT,46,14,1,7,4,72,,,,,,,
301,GTCU12,CU,51,42,1,9,4,107,,,,,,,
302,GTDU12,DU,22,36,2,5,3,68,,,,,,,
303,GTDU12,GT,72,14,2,7,6,101,,,,,,,
304,GTMD12,GT,56,4,2,6,5,73,,,,,,,
305,GTMD12,MD,44,18,5,2,1,70,,,,,,,
306,GTMT12,MT,44,23,2,8,7,84,,,,,,,
307,GTMT12,GT,53,26,2,5,4,90,,,,,,,
308,GTNC12,GT,67,12,2,12,8,101,,,,,,,
309,GTNC12,NC,34,35,3,8,6,86,,,,,,,
310,GTPC12,PC,30,35,9,2,0,76,,,,,,,
311,GTPC12,GT,58,14,3,9,8,92,,,,,,,
312,GTUGA12,GT,67,21,2,3,1,94,,,,,,,
313,GTUGA12,GA,31,18,4,7,6,66,,,,,,,
314,GTUM12,UM,32,52,3,7,4,98,,,,,,,
315,GTUM12,GT,58,8,5,7,4,82,,,,,,,
316,GTVA12,VA,28,33,5,3,2,71,,,,,,,
317,GTVA12,GT,50,12,3,8,8,81,,,,,,,
318,GTVT12,GT,55,16,7,4,2,84,,,,,,,
319,GTVT12,VT,35,38,6,3,2,84,,,,,,,
320,GTAL13,AAMU,30,31,4,2,1,68,,,,,,,
321,GTAL13,GT,52,6,2,11,9,80,,,,,,,
322,GTBYU13,GT,52,24,5,5,2,88,,,,,,,
323,GTBYU13,BYU,42,27,6,7,5,87,,,,,,,
324,GTCU13,GT,45,26,6,5,4,86,,,,,,,
325,GTCU13,CU,37,30,3,10,7,87,,,,,,,
326,GTDU13,GT,60,16,2,7,5,90,,,,,,,
327,GTDU13,DU,34,28,9,2,2,75,,,,,,,
328,GTEL13,ELON,34,35,7,1,0,77,,,,,,,
329,GTEL13,GT,50,11,1,11,10,83,,,,,,,
330,GTGA13,UGA,37,36,3,6,5,87,,,,,,,
331,GTGA13,GT,58,24,2,6,4,94,,,,,,,
332,GTMIA13,GT,62,19,4,6,4,95,,,,,,,
333,GTMIA13,UM,31,22,1,8,6,68,,,,,,,
334,GTMISS13,MISS,48,36,5,5,3,97,,,,,,,
335,GTMISS13,GT,49,17,6,5,2,79,,,,,,,
336,GTNC13,NC,24,29,5,4,2,64,,,,,,,
337,GTNC13,GT,71,12,4,5,4,96,,,,,,,
338,GTSU13,SU,26,29,8,1,0,64,,,,,,,
339,GTSU13,GT,67,5,3,9,8,92,,,,,,,
340,GTUP13,UP,21,37,7,3,1,69,,,,,,,
341,GTUP13,GT,53,10,4,4,3,74,,,,,,,
342,GTVA13,GT,52,9,2,6,5,74,,,,,,,
343,GTVA13,VA,31,62,5,5,2,105,,,,,,,
344,GTVT13,VT,27,25,6,4,2,64,,,,,,,
345,GTVT13,GT,42,24,4,3,1,74,,,,,,,
346,ACC14,FS,33,30,2,8,4,77,,,,,,,
347,ACC14,GT,59,14,2,5,5,85,,,,,,,
348,GTCU14,CU,33,21,6,3,0,63,,,,,,,
349,GTCU14,GT,50,11,1,7,1,70,,,,,,,
350,GTDU14,DU,47,26,3,6,4,86,,,,,,,
351,GTDU14,GT,46,26,1,4,1,78,,,,,,,
352,GTGS14,GSU,38,22,3,7,3,73,,,,,,,
353,GTGS14,GT,53,24,5,7,6,95,,,,,,,
354,GTNC14,GT,51,18,2,7,4,82,,,,,,,
355,GTNC14,NC,41,47,3,8,6,105,,,,,,,
356,GTNCST14,GT,64,8,0,9,8,89,,,,,,,
357,GTNCST14,ST,28,35,4,4,3,74,,,,,,,
358,GTPIT14,GT,64,12,2,9,8,95,,,,,,,
359,GTPIT14,UP,31,35,2,5,4,77,,,,,,,
360,GTTUL14,GT,57,8,1,6,5,77,,,,,,,
361,GTTUL14,TLN,25,35,2,4,3,69,,,,,,,
362,GTUGA14,GT,70,16,3,3,4,96,,,,,,,
363,GTUGA14,UGA,39,28,1,5,3,76,,,,,,,
364,GTUM14,UM,19,25,2,4,2,52,,,,,,,
365,GTUM14,GT,65,7,3,5,4,84,,,,,,,
366,GTVA14,VA,16,41,5,3,1,66,,,,,,,
367,GTVA14,GT,63,13,3,6,5,90,,,,,,,
368,GTVT14,GT,44,18,4,5,3,74,,,,,,,
369,GTVT14,VT,33,39,3,6,1,82,,,,,,,
370,GTWOF14,WOF,47,13,4,5,2,71,,,,,,,
371,GTWOF14,GT,43,16,2,6,5,72,,,,,,,
372,OB14,MS,33,51,1,4,4,93,,,,,,,
373,OB14,GT,61,12,3,8,7,91,,,,,,,
374,GTASU15,ASU,39,28,8,2,1,78,,,,,,,
375,GTASU15,GT,52,5,2,11,10,80,,,,,,,
376,GTCU15,GT,42,14,8,6,3,73,,,,,,,
377,GTCU15,CU,41,33,3,8,5,90,,,,,,,
378,GTDU15,GT,60,22,5,5,2,94,,,,,,,
379,GTDU15,DU,36,25,7,6,2,76,,,,,,,
380,GTFS15,FS,24,31,4,4,1,64,,,,,,,
381,GTFS15,GT,49,10,3,5,1,68,,,,,,,
382,GTGA15,UGA,34,25,5,4,1,69,,,,,,,
383,GTGA15,GT,41,18,4,2,1,66,,,,,,,
384,GTNC15,NC,31,26,3,6,5,71,,,,,,,
385,GTNC15,GT,59,21,1,5,4,90,,,,,,,
386,GTND15,GT,47,24,7,2,2,82,,,,,,,
387,GTND15,ND,32,30,5,6,4,77,,,,,,,
388,GTTLN15,TLN,33,33,5,4,1,76,,,,,,,
389,GTTLN15,GT,56,10,1,10,9,86,,,,,,,
390,GTUM15,GT,57,9,4,3,3,76,,,,,,,
391,GTUM15,UM,28,26,6,6,5,71,,,,,,,
392,GTUP15,UP,43,23,4,6,4,80,,,,,,,
393,GTUP15,GT,40,15,3,5,4,67,,,,,,,
394,GTVA15,GT,33,31,4,3,3,74,,,,,,,
395,GTVA15,VA,42,28,5,6,3,84,,,,,,,
396,GTVT15,VT,39,29,5,5,3,81,,,,,,,
397,GTVT15,GT,47,13,5,4,3,72,,,,,,,
398,GT090316,GT,44,15,5,4,2,70,,,,,,,
399,GT090316,BC,37,17,3,3,2,62,,,,,,,
400,GT091016,MER,28,40,4,3,1,76,,,,,,,
401,GT091016,GT,52,10,1,6,5,74,,,,,,,
402,GT091716,VANDY,30,31,8,2,1,72,,,,,,,
403,GT091716,GT,46,17,4,7,5,79,,,,,,,
404,GT092216,CU,34,48,6,5,3,96,,,,,,,
405,GT092216,GT,38,14,8,3,1,64,,,,,,,
406,GT100116,UM,27,19,6,6,5,63,,,,,,,
407,GT100116,GT,54,19,5,4,3,85,,,,,,,
408,GT100816,GT,45,10,1,7,4,67,,,,,,,
409,GT100816,UP,42,20,1,7,4,74,,,,,,,
410,GT101516,GS,50,33,3,4,3,93,,,,,,,
411,GT101516,GT,44,11,2,6,5,68,,,,,,,
412,GT102916,DU,37,36,2,6,5,86,,,,,,,
413,GT102916,GT,47,14,3,7,5,76,,,,,,,
414,GT110516,GT,59,9,2,5,2,77,,,,,,,
415,GT110516,NC,35,35,1,9,6,86,,,,,,,
416,GT111216,GT,58,7,6,7,3,81,,,,,,,
417,GT111216,VT,33,47,4,2,2,88,,,,,,,
418,GT111916,VA,42,46,4,4,2,98,,,,,,,
419,GT111916,GT,31,10,5,6,4,56,,,,,,,
420,GT112616,GT,42,10,3,5,4,64,,,,,,,
421,GT112616,UGA,42,28,2,6,3,81,,,,,,,
422,GT090417,UT,22,37,6,5,6,76,,,,,,,
423,GT090417,GT,86,10,3,5,5,109,,,,,,,
424,GT090917,JSU,38,14,5,3,1,61,,,,,,,
425,GT090917,GT,49,7,3,7,5,71,,,,,,,
426,GT092317,UP,20,35,7,3,2,67,,,,,,,
427,GT092317,GT,67,7,4,6,5,89,,,,,,,
428,GT093017,NC,26,32,6,1,1,66,,,,,,,
429,GT093017,GT,66,10,3,7,4,90,,,,,,,
430,GT101417,GT,53,8,6,5,3,75,,,,,,,
431,GT101417,UM,36,38,6,6,1,87,,,,,,,
432,GT102117,WF,31,30,3,5,3,72,,,,,,,
433,GT102117,GT,66,11,2,7,3,89,,,,,,,
434,GT102817,GT,43,13,9,3,1,69,,,,,,,
435,GT102817,CU,45,33,7,5,3,93,,,,,,,
436,GT110417,GT,52,22,9,6,4,93,,,,,,,
437,GT110417,VA,25,43,9,8,3,88,,,,,,,
438,GT111117,VT,36,26,5,5,1,73,,,,,,,
439,GT111117,GT,57,8,3,5,4,77,,,,,,,
440,GT111817,GT,47,14,3,4,3,71,,,,,,,
441,GT111817,DU,51,28,1,9,5,94,,,,,,,
