"ID";"Down";"ToGo";"Spot";"Text";"Quarter";"GameID";"PlayNum";"PlayID";"HasBall";"Type";"active";"Clock"
"16254";"1";"0";"V35";"1st & GOAL at DUKE35: Brian Delaney kickoff 65 yards to the GT0, touchback.";"1";"6019";"56";"6,10,56";"V";"K";"ACTIVE";
"16255";"1";"10";"H25";"1st & 10 at GT25: GEORGIA TECH drive start at 00:37.";"1";"6019";"57";"7,1,57";"H";;"ACTIVE";
"16256";"1";"10";"H25";"1st & 10 at GT25: Tobias Oliver at QB for Georgia Tech.";"1";"6019";"58";"7,2,58";"H";;"ACTIVE";
"16257";"1";"10";"H25";"1st & 10 at GT25: PENALTY GT false start (Zach Quinney) 5 yards to the GT20.";"1";"6019";"59";"7,3,59";"H";"E";"ACTIVE";
"16258";"1";"15";"H20";"1st & 15 at GT20: Tobias Oliver rush for 6 yards to the GT26 (Jordan Mack;Dylan Thompson).";"1";"6019";"60";"7,4,60";"H";"R";"ACTIVE";
"16259";"2";"9";"H26";"2nd & 9 at GT26: Clinton Lynch rush for no gain to the GT26 (Dylan Thompson;Charles Snowden).";"1";"6019";"61";"7,5,61";"H";"R";"ACTIVE";
"16260";"3";"9";"H26";"3rd & 9 at GT26: Start of 2nd quarter, clock 15:00.";"2";"6019";"62";"7,6,62";"H";"#";"ACTIVE";
"16261";"3";"9";"H26";"3rd & 9 at GT26: Qua Searcy rush for 33 yards to the DUKE41, 1ST DOWN GT (Jordan Mack).";"2";"6019";"63";"7,7,63";"H";"R";"ACTIVE";
"16262";"1";"10";"V41";"1st & 10 at DUKE41: Tobias Oliver rush for 1 yard to the DUKE40 (Chris Peace).";"2";"6019";"64";"7,8,64";"H";"R";"ACTIVE";
"16263";"2";"9";"V40";"2nd & 9 at DUKE40: Tobias Oliver rush for 6 yards to the DUKE34 (Robert Snyder;Jordan Mack).";"2";"6019";"65";"7,9,65";"H";"R";"ACTIVE";
"16264";"3";"3";"V34";"3rd & 3 at DUKE34: Tobias Oliver rush for 5 yards to the DUKE29, 1ST DOWN GT (Eli Hanback).";"2";"6019";"66";"7,10,66";"H";"R";"ACTIVE";
"16265";"1";"10";"V29";"1st & 10 at DUKE29: Jerry Howard rush for 7 yards to the DUKE22 (Jordan Mack;Juan Thornhill).";"2";"6019";"67";"7,11,67";"H";"R";"ACTIVE";
"16266";"2";"3";"V22";"2nd & 3 at DUKE22: Clock 12:26.";"2";"6019";"68";"7,12,68";"H";"#";"ACTIVE";
"16267";"2";"3";"V22";"2nd & 3 at DUKE22: Jerry Howard rush for 2 yards to the DUKE20 (Grant Misch).";"2";"6019";"69";"7,13,69";"H";"R";"ACTIVE";
"16268";"3";"1";"V20";"3rd & 1 at DUKE20: Tobias Oliver rush for 5 yards to the DUKE15, 1ST DOWN GT (Juan Thornhill).";"2";"6019";"70";"7,14,70";"H";"R";"ACTIVE";
"16269";"1";"10";"V15";"1st & 10 at DUKE15: Clinton Lynch rush for 4 yards to the DUKE11 (Chris Peace).";"2";"6019";"71";"7,15,71";"H";"R";"ACTIVE";
"16270";"2";"6";"V11";"2nd & 6 at DUKE11: Nathan Cottrell rush for 4 yards to the DUKE7 (Juan Thornhill).";"2";"6019";"72";"7,16,72";"H";"R";"ACTIVE";
"16271";"3";"2";"V07";"3rd & 2 at DUKE07: Tobias Oliver rush for loss of 3 yards to the DUKE10 (Brenton Nelson).";"2";"6019";"73";"7,17,73";"H";"R";"ACTIVE";
"16272";"4";"5";"V10";"4th & 5 at DUKE10: Wesley Wells field goal attempt from 28 GOOD, clock 08:51.";"2";"6019";"74";"7,18,74";"H";"F";"ACTIVE";
"16273";"1";"0";"H35";"1st & GOAL at GT35: Shawn Davis kickoff 57 yards to the DUKE8, Joe Reed return 15 yards to the DUKE23 (Victor Alexander;Jaytlin Askew).";"2";"6019";"75";"7,19,75";"H";"K";"ACTIVE";
"16274";"1";"10";"V23";"1st & 10 at DUKE23: VIRGINIA drive start at 08:47.";"2";"6019";"76";"8,1,76";"V";;"ACTIVE";
"16275";"1";"10";"V23";"1st & 10 at DUKE23: Bryce Perkins at QB for Virginia.";"2";"6019";"77";"8,2,77";"V";;"ACTIVE";
"16276";"1";"10";"V23";"1st & 10 at DUKE23: Bryce Perkins pass complete to Hasise Dubois for 5 yards to the DUKE28 (Tariq Carpenter;Malik Rivera).";"2";"6019";"78";"8,3,78";"V";"P";"ACTIVE";
"16277";"2";"5";"V28";"2nd & 5 at DUKE28: Bryce Perkins pass complete to Joe Reed for 22 yards to the 50 yardline, 1ST DOWN DUKE (Tariq Carpenter;Brandon Adams).";"2";"6019";"79";"8,4,79";"V";"P";"ACTIVE";
"16278";"1";"10";"V50";"1st & 10 at DUKE50: Jordan Ellis rush for 3 yards to the GT47 (Malik Rivera).";"2";"6019";"80";"8,5,80";"V";"R";"ACTIVE";
"16279";"2";"7";"H47";"2nd & 7 at GT47: Bryce Perkins pass complete to Evan Butts for 11 yards to the GT36, 1ST DOWN DUKE (Ajani Kerr).";"2";"6019";"81";"8,6,81";"V";"P";"ACTIVE";
"16280";"1";"10";"H36";"1st & 10 at GT36: Olamide Zaccheaus rush for 4 yards to the GT32 (Tariq Carpenter).";"2";"6019";"82";"8,7,82";"V";"R";"ACTIVE";
"16281";"2";"6";"H32";"2nd & 6 at GT32: Bryce Perkins pass complete to Hasise Dubois for 8 yards to the GT24, 1ST DOWN DUKE (Tariq Carpenter;Lamont Simmons).";"2";"6019";"83";"8,8,83";"V";"P";"ACTIVE";
"16282";"1";"10";"H24";"1st & 10 at GT24: Bryce Perkins rush for 5 yards to the GT19 (Lamont Simmons).";"2";"6019";"84";"8,9,84";"V";"R";"ACTIVE";
"16283";"2";"5";"H19";"2nd & 5 at GT19: Bryce Perkins pass complete to Olamide Zaccheaus for 8 yards to the GT11, 1ST DOWN DUKE.";"2";"6019";"85";"8,10,85";"V";"P";"INACTIVE";"08:47"
"16284";"2";"5";"H19";"2nd & 5 at GT19: Bryce Perkins pass complete to Olamide Zaccheaus for 8 yards to the GT11, 1ST DOWN DUKE.";"2";"6019";"85";"8,10,85";"V";"P";"ACTIVE";
"16285";"1";"10";"H11";"1st & 10 at GT11: Jordan Ellis rush for 2 yards to the GT9 (Antwan Owens).";"2";"6019";"86";"8,11,86";"V";"R";"ACTIVE";
"16286";"2";"8";"H09";"2nd & 8 at GT09: Bryce Perkins rush for 9 yards to the GT0, 1ST DOWN DUKE, TOUCHDOWN, clock 03:03.";"2";"6019";"87";"8,12,87";"V";"R";"ACTIVE";
"16287";"1";"0";"H03";"1st & GOAL at GT03: Brian Delaney kick attempt good.";"2";"6019";"88";"8,13,88";"V";"X";"ACTIVE";
"16288";"1";"0";"V35";"1st & GOAL at DUKE35: Brian Delaney kickoff 65 yards to the GT0, touchback.";"2";"6019";"89";"8,14,89";"V";"K";"ACTIVE";
"16289";"1";"10";"H25";"1st & 10 at GT25: GEORGIA TECH drive start at 03:03.";"2";"6019";"90";"9,1,90";"H";;"ACTIVE";
"16290";"1";"10";"H25";"1st & 10 at GT25: TaQuon Marshall at QB for Georgia Tech.";"2";"6019";"91";"9,2,91";"H";;"ACTIVE";
